iso_code,continent,location,date,population
AFG,Asia,Afghanistan,20200224,38928341
AFG,Asia,Afghanistan,20200225,38928341
AFG,Asia,Afghanistan,20200226,38928341
AFG,Asia,Afghanistan,20200227,38928341
AFG,Asia,Afghanistan,20200228,38928341
AFG,Asia,Afghanistan,20200229,38928341
AFG,Asia,Afghanistan,20200301,38928341
AFG,Asia,Afghanistan,20200302,38928341
AFG,Asia,Afghanistan,20200303,38928341
AFG,Asia,Afghanistan,20200304,38928341
AFG,Asia,Afghanistan,20200305,38928341
AFG,Asia,Afghanistan,20200306,38928341
AFG,Asia,Afghanistan,20200307,38928341
AFG,Asia,Afghanistan,20200308,38928341
AFG,Asia,Afghanistan,20200309,38928341
AFG,Asia,Afghanistan,20200310,38928341
AFG,Asia,Afghanistan,20200311,38928341
AFG,Asia,Afghanistan,20200312,38928341
AFG,Asia,Afghanistan,20200313,38928341
AFG,Asia,Afghanistan,20200314,38928341
AFG,Asia,Afghanistan,20200315,38928341
AFG,Asia,Afghanistan,20200316,38928341
AFG,Asia,Afghanistan,20200317,38928341
AFG,Asia,Afghanistan,20200318,38928341
AFG,Asia,Afghanistan,20200319,38928341
AFG,Asia,Afghanistan,20200320,38928341
AFG,Asia,Afghanistan,20200321,38928341
AFG,Asia,Afghanistan,20200322,38928341
AFG,Asia,Afghanistan,20200323,38928341
AFG,Asia,Afghanistan,20200324,38928341
AFG,Asia,Afghanistan,20200325,38928341
AFG,Asia,Afghanistan,20200326,38928341
AFG,Asia,Afghanistan,20200327,38928341
AFG,Asia,Afghanistan,20200328,38928341
AFG,Asia,Afghanistan,20200329,38928341
AFG,Asia,Afghanistan,20200330,38928341
AFG,Asia,Afghanistan,20200331,38928341
AFG,Asia,Afghanistan,20200401,38928341
AFG,Asia,Afghanistan,20200402,38928341
AFG,Asia,Afghanistan,20200403,38928341
AFG,Asia,Afghanistan,20200404,38928341
AFG,Asia,Afghanistan,20200405,38928341
AFG,Asia,Afghanistan,20200406,38928341
AFG,Asia,Afghanistan,20200407,38928341
AFG,Asia,Afghanistan,20200408,38928341
AFG,Asia,Afghanistan,20200409,38928341
AFG,Asia,Afghanistan,20200410,38928341
AFG,Asia,Afghanistan,20200411,38928341
AFG,Asia,Afghanistan,20200412,38928341
AFG,Asia,Afghanistan,20200413,38928341
AFG,Asia,Afghanistan,20200414,38928341
AFG,Asia,Afghanistan,20200415,38928341
AFG,Asia,Afghanistan,20200416,38928341
AFG,Asia,Afghanistan,20200417,38928341
AFG,Asia,Afghanistan,20200418,38928341
AFG,Asia,Afghanistan,20200419,38928341
AFG,Asia,Afghanistan,20200420,38928341
AFG,Asia,Afghanistan,20200421,38928341
AFG,Asia,Afghanistan,20200422,38928341
AFG,Asia,Afghanistan,20200423,38928341
AFG,Asia,Afghanistan,20200424,38928341
AFG,Asia,Afghanistan,20200425,38928341
AFG,Asia,Afghanistan,20200426,38928341
AFG,Asia,Afghanistan,20200427,38928341
AFG,Asia,Afghanistan,20200428,38928341
AFG,Asia,Afghanistan,20200429,38928341
AFG,Asia,Afghanistan,20200430,38928341
AFG,Asia,Afghanistan,20200501,38928341
AFG,Asia,Afghanistan,20200502,38928341
AFG,Asia,Afghanistan,20200503,38928341
AFG,Asia,Afghanistan,20200504,38928341
AFG,Asia,Afghanistan,20200505,38928341
AFG,Asia,Afghanistan,20200506,38928341
AFG,Asia,Afghanistan,20200507,38928341
AFG,Asia,Afghanistan,20200508,38928341
AFG,Asia,Afghanistan,20200509,38928341
AFG,Asia,Afghanistan,20200510,38928341
AFG,Asia,Afghanistan,20200511,38928341
AFG,Asia,Afghanistan,20200512,38928341
AFG,Asia,Afghanistan,20200513,38928341
AFG,Asia,Afghanistan,20200514,38928341
AFG,Asia,Afghanistan,20200515,38928341
AFG,Asia,Afghanistan,20200516,38928341
AFG,Asia,Afghanistan,20200517,38928341
AFG,Asia,Afghanistan,20200518,38928341
AFG,Asia,Afghanistan,20200519,38928341
AFG,Asia,Afghanistan,20200520,38928341
AFG,Asia,Afghanistan,20200521,38928341
AFG,Asia,Afghanistan,20200522,38928341
AFG,Asia,Afghanistan,20200523,38928341
AFG,Asia,Afghanistan,20200524,38928341
AFG,Asia,Afghanistan,20200525,38928341
AFG,Asia,Afghanistan,20200526,38928341
AFG,Asia,Afghanistan,20200527,38928341
AFG,Asia,Afghanistan,20200528,38928341
AFG,Asia,Afghanistan,20200529,38928341
AFG,Asia,Afghanistan,20200530,38928341
AFG,Asia,Afghanistan,20200531,38928341
AFG,Asia,Afghanistan,20200601,38928341
AFG,Asia,Afghanistan,20200602,38928341
AFG,Asia,Afghanistan,20200603,38928341
AFG,Asia,Afghanistan,20200604,38928341
AFG,Asia,Afghanistan,20200605,38928341
AFG,Asia,Afghanistan,20200606,38928341
AFG,Asia,Afghanistan,20200607,38928341
AFG,Asia,Afghanistan,20200608,38928341
AFG,Asia,Afghanistan,20200609,38928341
AFG,Asia,Afghanistan,20200610,38928341
AFG,Asia,Afghanistan,20200611,38928341
AFG,Asia,Afghanistan,20200612,38928341
AFG,Asia,Afghanistan,20200613,38928341
AFG,Asia,Afghanistan,20200614,38928341
AFG,Asia,Afghanistan,20200615,38928341
AFG,Asia,Afghanistan,20200616,38928341
AFG,Asia,Afghanistan,20200617,38928341
AFG,Asia,Afghanistan,20200618,38928341
AFG,Asia,Afghanistan,20200619,38928341
AFG,Asia,Afghanistan,20200620,38928341
AFG,Asia,Afghanistan,20200621,38928341
AFG,Asia,Afghanistan,20200622,38928341
AFG,Asia,Afghanistan,20200623,38928341
AFG,Asia,Afghanistan,20200624,38928341
AFG,Asia,Afghanistan,20200625,38928341
AFG,Asia,Afghanistan,20200626,38928341
AFG,Asia,Afghanistan,20200627,38928341
AFG,Asia,Afghanistan,20200628,38928341
AFG,Asia,Afghanistan,20200629,38928341
AFG,Asia,Afghanistan,20200630,38928341
AFG,Asia,Afghanistan,20200701,38928341
AFG,Asia,Afghanistan,20200702,38928341
AFG,Asia,Afghanistan,20200703,38928341
AFG,Asia,Afghanistan,20200704,38928341
AFG,Asia,Afghanistan,20200705,38928341
AFG,Asia,Afghanistan,20200706,38928341
AFG,Asia,Afghanistan,20200707,38928341
AFG,Asia,Afghanistan,20200708,38928341
AFG,Asia,Afghanistan,20200709,38928341
AFG,Asia,Afghanistan,20200710,38928341
AFG,Asia,Afghanistan,20200711,38928341
AFG,Asia,Afghanistan,20200712,38928341
AFG,Asia,Afghanistan,20200713,38928341
AFG,Asia,Afghanistan,20200714,38928341
AFG,Asia,Afghanistan,20200715,38928341
AFG,Asia,Afghanistan,20200716,38928341
AFG,Asia,Afghanistan,20200717,38928341
AFG,Asia,Afghanistan,20200718,38928341
AFG,Asia,Afghanistan,20200719,38928341
AFG,Asia,Afghanistan,20200720,38928341
AFG,Asia,Afghanistan,20200721,38928341
AFG,Asia,Afghanistan,20200722,38928341
AFG,Asia,Afghanistan,20200723,38928341
AFG,Asia,Afghanistan,20200724,38928341
AFG,Asia,Afghanistan,20200725,38928341
AFG,Asia,Afghanistan,20200726,38928341
AFG,Asia,Afghanistan,20200727,38928341
AFG,Asia,Afghanistan,20200728,38928341
AFG,Asia,Afghanistan,20200729,38928341
AFG,Asia,Afghanistan,20200730,38928341
AFG,Asia,Afghanistan,20200731,38928341
AFG,Asia,Afghanistan,20200801,38928341
AFG,Asia,Afghanistan,20200802,38928341
AFG,Asia,Afghanistan,20200803,38928341
AFG,Asia,Afghanistan,20200804,38928341
AFG,Asia,Afghanistan,20200805,38928341
AFG,Asia,Afghanistan,20200806,38928341
AFG,Asia,Afghanistan,20200807,38928341
AFG,Asia,Afghanistan,20200808,38928341
AFG,Asia,Afghanistan,20200809,38928341
AFG,Asia,Afghanistan,20200810,38928341
AFG,Asia,Afghanistan,20200811,38928341
AFG,Asia,Afghanistan,20200812,38928341
AFG,Asia,Afghanistan,20200813,38928341
AFG,Asia,Afghanistan,20200814,38928341
AFG,Asia,Afghanistan,20200815,38928341
AFG,Asia,Afghanistan,20200816,38928341
AFG,Asia,Afghanistan,20200817,38928341
AFG,Asia,Afghanistan,20200818,38928341
AFG,Asia,Afghanistan,20200819,38928341
AFG,Asia,Afghanistan,20200820,38928341
AFG,Asia,Afghanistan,20200821,38928341
AFG,Asia,Afghanistan,20200822,38928341
AFG,Asia,Afghanistan,20200823,38928341
AFG,Asia,Afghanistan,20200824,38928341
AFG,Asia,Afghanistan,20200825,38928341
AFG,Asia,Afghanistan,20200826,38928341
AFG,Asia,Afghanistan,20200827,38928341
AFG,Asia,Afghanistan,20200828,38928341
AFG,Asia,Afghanistan,20200829,38928341
AFG,Asia,Afghanistan,20200830,38928341
AFG,Asia,Afghanistan,20200831,38928341
AFG,Asia,Afghanistan,20200901,38928341
AFG,Asia,Afghanistan,20200902,38928341
AFG,Asia,Afghanistan,20200903,38928341
AFG,Asia,Afghanistan,20200904,38928341
AFG,Asia,Afghanistan,20200905,38928341
AFG,Asia,Afghanistan,20200906,38928341
AFG,Asia,Afghanistan,20200907,38928341
AFG,Asia,Afghanistan,20200908,38928341
